trial,route,mean,std,count,sem,ci_lower,ci_upper
160,Route A,-33.873451137641545,1.7345918993030156,500,0.07757330800124025,-34.025494821323974,-33.72140745395912
161,Route A,-33.908647337346245,1.7460879321104898,500,0.07808742621782186,-34.061698692733174,-33.75559598195932
162,Route A,-33.920903623177594,1.7577406897451409,500,0.07860855338175005,-34.074976387805826,-33.76683085854936
163,Route A,-33.93972426303349,1.7651045106214498,500,0.07893787346282122,-34.09444249502062,-33.78500603104636
164,Route A,-33.97840840305886,1.748010479794999,500,0.0781734051640728,-34.13162827718044,-33.825188528937275
165,Route A,-34.00679164535633,1.7366531567416676,500,0.07766549023627932,-34.15901600621944,-33.85456728449322
166,Route A,-34.02467046215941,1.7227748185415794,500,0.07704483208367673,-34.17567833304342,-33.873662591275405
167,Route A,-34.0693868066944,1.7227667826488637,500,0.07704447270762929,-34.220393973201354,-33.91837964018745
168,Route A,-34.09802877605306,1.73074273237316,500,0.07740116802300223,-34.24973506537815,-33.94632248672798
169,Route A,-34.11871420419599,1.7278088503485305,500,0.0772699608301015,-34.270163327422985,-33.96726508096899
170,Route A,-34.125399901485025,1.7513813037885055,500,0.07832415299586616,-34.27891524135692,-33.97188456161313
171,Route A,-34.159865291621,1.7511483848774891,500,0.07831373654550061,-34.313360215250185,-34.00637036799182
172,Route A,-34.171310043438986,1.7239969731086944,500,0.07709948849749834,-34.32242504089408,-34.02019504598389
173,Route A,-34.208700771382006,1.762370144582105,500,0.07881558889603438,-34.36317932561823,-34.05422221714578
174,Route A,-34.216515516676154,1.7291241418304109,500,0.07732878245337572,-34.36807993028477,-34.064951103067536
175,Route A,-34.23423469857458,1.7214307402777043,500,0.07698472307637463,-34.38512475580428,-34.08334464134489
176,Route A,-34.27819632979948,1.7355937000946942,500,0.07761810989464238,-34.430327825192975,-34.12606483440598
177,Route A,-34.2964892860595,1.732862431081271,500,0.07749596383106533,-34.44838137516839,-34.144597196950606
