trial,route,mean,std,count,sem,ci_lower,ci_upper
124,Route A,0.07861283852578874,0.03974156639172711,500,0.0017772968796844568,0.0751293366416072,0.08209634040997027
125,Route A,0.07643322720181779,0.03910702946166606,500,0.0017489195254874463,0.07300534493186239,0.07986110947177319
126,Route A,0.07467907538218205,0.03867157396406424,500,0.0017294453636111729,0.07128936246950415,0.07806878829485994
127,Route A,0.07274881805443915,0.03893871499304211,500,0.0017413922736186482,0.0693356891981466,0.0761619469107317
128,Route A,0.07130894755578976,0.03869973449889886,500,0.001730704741014632,0.06791676626340108,0.07470112884817844
129,Route A,0.06949516982474323,0.03678571173333739,500,0.0016451070407290803,0.06627076002491424,0.07271957962457222
130,Route A,0.06759463694129313,0.03519190676743307,500,0.0015738299157963046,0.06450993030633237,0.07067934357625388
131,Route A,0.06598559171495001,0.03414876191509301,500,0.0015271790597920774,0.06299232075775754,0.06897886267214248
132,Route A,0.064064329819207,0.032615684217567616,500,0.0014586177408629645,0.06120543904711559,0.0669232205912984
133,Route A,0.0636233945844537,0.03236417501216285,500,0.0014473699072579242,0.060786549566228164,0.06646023960267923
134,Route A,0.06317229574366752,0.033233784500736156,500,0.001486260025864499,0.0602592260929731,0.06608536539436194
135,Route A,0.0629109469310102,0.03220112030756097,500,0.0014400778791871052,0.06008839428780347,0.06573349957421692
136,Route A,0.061842893851367854,0.031109231296570672,500,0.0013912471181379187,0.05911604949981753,0.06456973820291817
137,Route A,0.061039789995781406,0.030821612965457174,500,0.0013783844353390223,0.05833815650251692,0.06374142348904589
138,Route A,0.0603991602410464,0.031464689340432665,500,0.0014071436851224091,0.05764115861820648,0.06315716186388633
139,Route A,0.059059935090519565,0.03111010678979927,500,0.0013912862713853784,0.05633301399860422,0.06178685618243491
140,Route A,0.05768153807368988,0.03117639131189354,500,0.001394250605330556,0.05494880688724199,0.060414269260137765
