alpha,beta,negative_log_likelihood
0.12,0.6,136.64052206715687
0.12,0.61,137.3427074932633
0.12,0.62,138.07659485065267
0.12,0.63,138.84099714735981
0.12,0.64,139.6347706872985
0.12,0.65,140.45681388973534
0.12,0.66,141.30606609236267
0.12,0.67,142.18150634477408
0.12,0.68,143.08215219837928
0.12,0.69,144.00705849808216
0.12,0.7,144.95531618039206
0.12,0.71,145.9260510820482
0.12,0.72,146.91842276268284
0.12,0.73,147.93162334455965
0.12,0.74,148.96487637197336
0.12,0.75,150.017435692486
0.12,0.76,151.08858436181328
0.12,0.77,152.1776335738408
0.12,0.78,153.28392161695902
0.12,0.79,154.40681285763614
0.12,0.8,155.5456967519205
0.12,0.81,156.6999868853489
0.12,0.82,157.86912004156082
0.12,0.83,159.0525552997483
0.12,0.84,160.24977316093805
0.12,0.85,161.4602747029739
0.12,0.86,162.6835807639616
0.12,0.87,163.9192311538501
0.12,0.88,165.16678389373672
0.12,0.89,166.42581448242848
0.12,0.9,167.6959151897264
